City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
79,Airai,TL,-8.9266,125.4092,60.33,92,100,1.48,overcast clouds
80,Lompoc,US,34.6391,-120.4579,88.11,20,0,6.91,clear sky
81,Koumac,NC,-20.5667,164.2833,79.84,88,100,21.18,overcast clouds
82,Suntar,RU,62.1444,117.6319,-29.99,100,99,2.64,overcast clouds
83,Fare,PF,-16.7,-151.0167,81.43,73,98,15.73,overcast clouds
84,Souillac,MU,-20.5167,57.5167,77.38,88,40,2.3,scattered clouds
85,San Patricio,US,28.017,-97.5169,73.38,35,100,4.34,overcast clouds
86,Kodiak,US,57.79,-152.4072,27.91,80,100,0.0,overcast clouds
87,Ancud,CL,-41.8697,-73.8203,63.43,49,4,13.76,clear sky
88,San Quintin,MX,30.4833,-115.95,72.39,27,0,8.32,clear sky
89,Kambove,CD,-10.8764,26.5969,62.98,93,100,2.93,light rain
90,Qaanaaq,GL,77.484,-69.3632,-20.85,57,8,7.38,clear sky
91,Leh,IN,34.1667,77.5833,-6.7,90,94,3.58,overcast clouds
92,Avarua,CK,-21.2078,-159.775,80.65,74,20,8.05,few clouds
93,Luderitz,NA,-26.6481,15.1594,73.53,52,3,18.77,clear sky
94,Muravlenko,RU,63.7898,74.523,-3.71,90,31,12.93,scattered clouds
95,Bambous Virieux,MU,-20.3428,57.7575,77.25,88,40,2.3,scattered clouds
96,Benguela,AO,-12.5763,13.4055,76.39,69,100,5.32,overcast clouds
97,Asau,RO,46.4333,26.4,38.75,91,9,6.87,clear sky
98,Rakaia,NZ,-43.75,172.0167,68.72,70,99,3.0,overcast clouds
99,San Cristobal,VE,7.7669,-72.225,78.98,50,73,1.68,broken clouds
100,Hirado,JP,33.3597,129.5531,45.36,50,61,8.95,broken clouds
101,Raahe,FI,64.6833,24.4833,33.89,77,92,19.91,overcast clouds
102,Cape Town,ZA,-33.9258,18.4232,68.09,62,0,8.05,clear sky
103,East London,ZA,-33.0153,27.9116,71.65,79,9,4.18,clear sky
104,Olyka,UA,50.7186,25.8125,40.93,76,100,12.06,overcast clouds
105,Puerto Ayora,EC,-0.7393,-90.3518,84.16,86,96,7.0,overcast clouds
106,Port Alfred,ZA,-33.5906,26.891,70.92,79,81,7.63,broken clouds
107,Tiarei,PF,-17.5333,-149.3333,84.22,75,30,13.87,scattered clouds
108,Charters Towers,AU,-20.1,146.2667,71.91,89,93,6.85,overcast clouds
109,Lorengau,PG,-2.0226,147.2712,80.08,82,100,6.35,overcast clouds
110,Rincon,US,32.296,-81.2354,70.86,31,64,6.17,broken clouds
111,Maniitsoq,GL,65.4167,-52.9,15.71,91,100,7.99,overcast clouds
112,Qarqin,AF,37.4185,66.0436,53.58,29,55,19.64,broken clouds
113,Cidreira,BR,-30.1811,-50.2056,76.23,74,1,16.46,clear sky
114,Thessalon,CA,46.2501,-83.5666,23.76,78,60,10.18,broken clouds
115,Margate,GB,51.3813,1.3862,41.76,71,54,1.99,broken clouds
116,Kiunga,PG,-6.1219,141.2906,73.06,100,100,0.67,moderate rain
117,Avera,US,33.194,-82.5271,69.39,29,10,8.55,clear sky
118,Kanniyakumari,IN,8.0833,77.5667,77.7,83,83,12.62,broken clouds
119,Frontera,MX,26.9333,-101.45,70.32,30,75,8.05,broken clouds
120,Tselinnoye,RU,53.0833,85.6667,-17.57,100,68,2.48,broken clouds
121,Oriximina,BR,-1.7656,-55.8661,85.14,66,77,3.56,broken clouds
122,Aykhal,RU,66.0,111.5,-4.59,92,99,4.85,overcast clouds
123,Nikolskoye,RU,59.7035,30.7861,36.88,90,100,10.27,overcast clouds
124,Torbay,CA,47.6666,-52.7314,39.76,81,20,8.05,few clouds
125,Clyde River,CA,70.4692,-68.5914,-18.17,69,75,5.75,broken clouds
126,Rawson,AR,-43.3002,-65.1023,67.41,30,71,13.6,broken clouds
127,Mokhsogollokh,RU,61.4681,128.9203,-32.42,100,54,3.06,broken clouds
128,Leningradskiy,RU,69.3833,178.4167,-19.12,97,100,4.79,overcast clouds
129,Wairoa,NZ,-39.0333,177.3667,76.6,81,92,1.99,overcast clouds
130,Jamestown,US,42.097,-79.2353,38.52,53,92,3.0,overcast clouds
131,Provideniya,RU,64.3833,-173.3,-19.93,92,47,3.69,scattered clouds
132,Olafsvik,IS,64.8945,-23.7142,34.5,57,34,23.15,scattered clouds
133,Carnarvon,AU,-24.8667,113.6333,78.87,73,75,8.05,broken clouds
134,Talara,PE,-4.5772,-81.2719,83.16,57,20,10.36,few clouds
135,Half Moon Bay,US,37.4636,-122.4286,76.05,31,0,26.46,clear sky
136,Saint-Pierre,RE,-21.3393,55.4781,74.88,78,20,4.61,few clouds
137,Castro,BR,-24.7911,-50.0119,75.07,65,37,5.53,scattered clouds
138,Monrovia,LR,6.3005,-10.7969,80.37,83,5,8.28,clear sky
139,Nago,JP,26.5881,127.9761,60.87,71,53,6.82,broken clouds
140,Ponta Delgada,PT,37.7333,-25.6667,60.49,77,20,8.05,few clouds
141,Kuching,MY,1.55,110.3333,73.62,100,40,3.0,light rain
142,Tiksi,RU,71.6872,128.8694,-10.12,92,100,16.4,overcast clouds
143,Termiz,UZ,37.2242,67.2783,46.49,46,0,9.22,clear sky
144,Umkomaas,ZA,-30.2067,30.7978,77.59,88,29,3.6,scattered clouds
145,Chapais,CA,49.7834,-74.8492,22.78,94,100,11.68,light snow
146,Kirakira,SB,-10.4544,161.9205,78.96,85,100,5.53,overcast clouds
147,Southampton,GB,50.904,-1.4043,41.86,78,0,5.75,clear sky
148,North Platte,US,41.1239,-100.7654,61.12,32,99,8.01,overcast clouds
149,Tabou,CI,4.423,-7.3528,79.61,88,4,7.02,clear sky
150,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,33,0,12.66,clear sky
151,Boden,SE,65.8252,21.6886,28.4,93,100,3.94,overcast clouds
152,Umm Lajj,SA,25.0213,37.2685,64.0,55,0,13.73,clear sky
153,Beringovskiy,RU,63.05,179.3167,-27.78,94,25,2.93,scattered clouds
154,Kanker,IN,20.2719,81.4931,62.62,81,16,3.49,few clouds
155,Novichikha,RU,52.204,81.3877,-17.46,100,95,2.3,overcast clouds
156,Codrington,AU,-38.2667,141.9667,56.89,84,28,8.75,scattered clouds
